rule_id,seed,K,J,noise,meandeg,kcap,sim_thr_frac
A2-B0-C2-kbar-r39,9317943,8,0.311,0.337,6.44,5,0.283
A2-B0-C2-kbar-r40,9318040,4,0.737,0.177,7.42,5,0.159
A2-B0-C2-kbar-r41,9318137,5,0.484,0.315,7.68,4,0.17
A2-B0-C2-kbar-r42,9318234,6,0.451,0.151,6.17,6,0.341
A2-B0-C2-kbar-r43,9318331,6,0.497,0.157,5.79,5,0.318
A2-B0-C2-kbar-r44,9318428,7,0.79,0.185,4.32,5,0.323
A2-B0-C2-kbar-r45,9318525,5,0.416,0.271,7.01,7,0.171
A2-B0-C2-kbar-r46,9318622,5,0.627,0.192,4.29,6,0.322
A2-B0-C2-kbar-r47,9318719,6,0.595,0.311,6.23,6,0.291
A2-B0-C2-kbar-r48,9318816,6,0.441,0.336,7.01,7,0.278
A2-B0-C2-kbar-r49,9318913,5,0.576,0.279,5.34,5,0.251
A2-B0-C2-kbar-r50,9319010,6,0.45,0.279,4.97,5,0.319
A2-B0-C2-kbar-r51,9319107,6,0.592,0.262,5.37,6,0.296
A2-B0-C2-kbar-r52,9319204,6,0.693,0.194,5.94,5,0.236
A2-B0-C2-kbar-r53,9319301,6,0.365,0.292,6.67,7,0.254
A2-B0-C2-kbar-r54,9319398,7,0.534,0.275,5.34,6,0.152
A2-B0-C2-kbar-r55,9319495,4,0.726,0.113,6.27,5,0.31
A2-B0-C2-kbar-r56,9319592,6,0.781,0.281,5.04,6,0.244
A2-B0-C2-kbar-r57,9319689,5,0.717,0.3,5.7,4,0.285
A2-B0-C2-kbar-r58,9319786,7,0.572,0.302,4.91,6,0.331
A2-B0-C2-kbar-r59,9319883,4,0.382,0.191,4.07,5,0.349
A2-B0-C2-kbar-r60,9319980,5,0.338,0.232,7.72,5,0.254
A2-B0-C2-kbar-r61,9320077,5,0.405,0.193,4.17,5,0.245
A2-B0-C2-kbar-r62,9320174,4,0.465,0.164,6.03,6,0.239
A2-B0-C2-kbar-r63,9320271,5,0.437,0.252,6.14,5,0.27
A2-B0-C2-kbar-r64,9320368,5,0.477,0.307,6.37,7,0.219
A2-B0-C2-kbar-r65,9320465,7,0.349,0.285,6.21,4,0.224
A2-B0-C2-kbar-r66,9320562,8,0.626,0.262,5.1,6,0.25
A2-B0-C2-kbar-r67,9320659,7,0.643,0.257,5.21,5,0.19
A2-B0-C2-kbar-r68,9320756,5,0.436,0.334,4.5,5,0.215
A2-B0-C2-kbar-r69,9320853,5,0.699,0.344,7.32,6,0.346
A2-B0-C2-kbar-r70,9320950,5,0.471,0.324,6.94,6,0.325
A2-B0-C2-kbar-r71,9321047,6,0.3,0.213,7.45,6,0.342
A2-B0-C2-kbar-r72,9321144,7,0.642,0.244,5.48,5,0.305
A2-B0-C2-kbar-r73,9321241,4,0.799,0.138,6.29,5,0.171
A2-B0-C2-kbar-r74,9321338,8,0.622,0.157,7.28,4,0.222
A2-B0-C2-kbar-r75,9321435,4,0.392,0.223,4.15,5,0.228
A2-B0-C2-kbar-r76,9321532,8,0.78,0.115,4.04,5,0.242
A2-B0-C2-kbar-r77,9321629,7,0.387,0.159,4.76,5,0.176
A2-B0-C2-kbar-r78,9321726,7,0.749,0.164,7.66,4,0.256
A2-B0-C2-kbar-r79,9321823,4,0.569,0.271,4.95,4,0.32
A2-B0-C2-kbar-r80,9321920,4,0.532,0.205,5.24,5,0.18
A2-B0-C2-kbar-r81,9322017,5,0.796,0.189,7.94,6,0.179
A2-B0-C2-kbar-r82,9322114,7,0.661,0.284,4.87,5,0.215
A2-B0-C2-kbar-r83,9322211,5,0.598,0.266,6.77,5,0.334
A2-B0-C2-kbar-r84,9322308,5,0.664,0.306,7.72,6,0.304
A2-B0-C2-kbar-r85,9322405,5,0.458,0.155,7.98,6,0.306
A2-B0-C2-kbar-r86,9322502,5,0.756,0.338,4.02,7,0.214
A2-B0-C2-kbar-r87,9322599,4,0.708,0.156,5.96,6,0.181
A2-B0-C2-kbar-r88,9322696,5,0.602,0.122,4.69,5,0.318
A2-B0-C2-kbar-r89,9322793,6,0.665,0.237,7.75,6,0.28
A2-B0-C2-kbar-r90,9322890,5,0.728,0.191,6.13,6,0.261
A2-B0-C2-kbar-r91,9322987,4,0.359,0.317,6.09,6,0.226
A2-B0-C2-kbar-r92,9323084,6,0.703,0.177,7.47,4,0.202
A2-B0-C2-kbar-r93,9323181,7,0.634,0.121,6.06,6,0.229
A2-B0-C2-kbar-r94,9323278,7,0.653,0.303,6.27,6,0.249
A2-B0-C2-kbar-r95,9323375,7,0.669,0.237,6.45,6,0.298
A2-B0-C2-kbar-r96,9323472,5,0.699,0.331,4.82,5,0.218
A2-B0-C2-kbar-r97,9323569,5,0.399,0.223,4.33,7,0.314
A2-B0-C2-kbar-r98,9323666,6,0.349,0.325,4.1,5,0.273
A2-B0-C2-kbar-r99,9323763,7,0.525,0.207,7.83,5,0.245
A2-B0-C2-kbar-r100,9323860,6,0.409,0.251,6.34,6,0.324
A2-B0-C2-kbar-r101,9323957,6,0.528,0.164,5.95,6,0.244
A2-B0-C2-kbar-r102,9324054,5,0.443,0.234,5.19,6,0.26
A2-B0-C2-kbar-r103,9324151,6,0.681,0.247,7.89,5,0.181
A2-B0-C2-kbar-r104,9324248,6,0.677,0.246,4.02,5,0.29
A2-B0-C2-kbar-r105,9324345,7,0.67,0.118,6.04,4,0.165
A2-B0-C2-kbar-r106,9324442,4,0.569,0.218,7.43,5,0.192
A2-B0-C2-kbar-r107,9324539,7,0.399,0.133,4.51,5,0.23
A2-B0-C2-kbar-r108,9324636,4,0.323,0.294,7.34,6,0.239
A2-B0-C2-kbar-r109,9324733,6,0.727,0.204,7.58,7,0.219
A2-B0-C2-kbar-r110,9324830,6,0.73,0.126,7.59,6,0.304
A2-B0-C2-kbar-r111,9324927,4,0.579,0.229,4.3,6,0.243
A2-B0-C2-kbar-r112,9325024,5,0.623,0.259,5.26,7,0.193
A2-B0-C2-kbar-r113,9325121,6,0.688,0.195,4.26,6,0.239
A2-B0-C2-kbar-r114,9325218,8,0.519,0.314,7.24,5,0.309
A2-B0-C2-kbar-r115,9325315,7,0.384,0.241,5.04,6,0.297
A2-B0-C2-kbar-r116,9325412,7,0.378,0.113,7.11,6,0.312
A2-B0-C2-kbar-r117,9325509,8,0.598,0.281,6.99,5,0.281
A2-B0-C2-kbar-r118,9325606,7,0.443,0.161,5.56,5,0.3
A2-B0-C2-kbar-r119,9325703,6,0.658,0.142,4.1,7,0.27
A2-B0-C2-kbar-r120,9325800,8,0.503,0.205,6.67,5,0.346
A2-B0-C2-kbar-r121,9325897,6,0.745,0.259,4.53,4,0.326
A2-B0-C2-kbar-r122,9325994,6,0.332,0.289,6.77,6,0.311
A2-B0-C2-kbar-r123,9326091,4,0.388,0.251,6.72,6,0.312
A2-B0-C2-kbar-r124,9326188,5,0.524,0.214,4.29,5,0.243
A2-B0-C2-kbar-r125,9326285,6,0.657,0.136,6.93,6,0.305
A2-B0-C2-kbar-r126,9326382,8,0.413,0.262,7.82,4,0.183
A2-B0-C2-kbar-r127,9326479,7,0.365,0.271,5.94,5,0.159
A2-B0-C2-kbar-r128,9326576,8,0.465,0.334,6.26,7,0.199
A2-B0-C2-kbar-r129,9326673,6,0.711,0.343,6.93,6,0.205
A2-B0-C2-kbar-r130,9326770,6,0.381,0.151,7.77,5,0.161
A2-B0-C2-kbar-r131,9326867,5,0.529,0.201,5.02,5,0.347
A2-B0-C2-kbar-r132,9326964,7,0.756,0.137,4.61,7,0.277
A2-B0-C2-kbar-r133,9327061,6,0.669,0.33,4.77,7,0.179
A2-B0-C2-kbar-r134,9327158,5,0.547,0.152,5.51,6,0.33
A2-B0-C2-kbar-r135,9327255,4,0.423,0.24,4.02,6,0.334
A2-B0-C2-kbar-r136,9327352,7,0.671,0.129,5.03,5,0.296
A2-B0-C2-kbar-r137,9327449,6,0.612,0.326,6.59,6,0.249
A2-B0-C2-kbar-r138,9327546,6,0.465,0.245,6.41,6,0.226
A2-B0-C2-kbar-r139,9327643,8,0.338,0.223,5.06,5,0.24
