d,N,r,cascaron,pi
1,2500,108,2.0,0.009259259259259259
1,2500,109,2.0,0.009174311926605505
1,2500,110,2.0,0.00909090909090909
1,2500,111,2.0,0.009009009009009009
1,2500,112,2.0,0.008928571428571428
1,2500,113,2.0,0.008849557522123894
1,2500,114,2.0,0.008771929824561403
1,2500,115,2.0,0.008695652173913044
1,2500,116,2.0,0.008620689655172414
1,2500,117,2.0,0.008547008547008548
1,2500,118,2.0,0.00847457627118644
1,2500,119,2.0,0.008403361344537815
1,2500,120,2.0,0.008333333333333333
1,2500,121,2.0,0.008264462809917356
1,2500,122,2.0,0.00819672131147541
1,2500,123,2.0,0.008130081300813009
1,2500,124,2.0,0.008064516129032258
1,2500,125,2.0,0.008
1,2500,126,2.0,0.007936507936507936
1,2500,127,2.0,0.007874015748031496
1,2500,128,2.0,0.0078125
1,2500,129,2.0,0.007751937984496124
1,2500,130,2.0,0.007692307692307693
1,2500,131,2.0,0.007633587786259542
1,2500,132,2.0,0.007575757575757576
1,2500,133,2.0,0.007518796992481203
1,2500,134,2.0,0.007462686567164179
1,2500,135,2.0,0.007407407407407408
1,2500,136,2.0,0.007352941176470588
1,2500,137,2.0,0.0072992700729927005
1,2500,138,2.0,0.007246376811594203
1,2500,139,2.0,0.007194244604316547
1,2500,140,2.0,0.007142857142857143
1,2500,141,2.0,0.0070921985815602835
1,2500,142,2.0,0.007042253521126761
1,2500,143,2.0,0.006993006993006993
1,2500,144,2.0,0.006944444444444444
1,2500,145,2.0,0.006896551724137931
1,2500,146,2.0,0.00684931506849315
1,2500,147,2.0,0.006802721088435374
1,2500,148,2.0,0.006756756756756757
1,2500,149,2.0,0.006711409395973154
1,2500,150,2.0,0.006666666666666667
1,2500,151,2.0,0.006622516556291391
1,2500,152,2.0,0.006578947368421052
1,2500,153,2.0,0.006535947712418301
1,2500,154,2.0,0.006493506493506494
1,2500,155,2.0,0.0064516129032258064
1,2500,156,2.0,0.00641025641025641
1,2500,157,2.0,0.006369426751592357
1,2500,158,2.0,0.006329113924050633
1,2500,159,2.0,0.006289308176100629
1,2500,160,2.0,0.00625
1,2500,161,2.0,0.006211180124223602
1,2500,162,2.0,0.006172839506172839
1,2500,163,2.0,0.006134969325153374
1,2500,164,2.0,0.006097560975609756
1,2500,165,2.0,0.006060606060606061
1,2500,166,2.0,0.006024096385542169
1,2500,167,2.0,0.005988023952095809
1,2500,168,2.0,0.005952380952380952
1,2500,169,2.0,0.005917159763313609
1,2500,170,2.0,0.0058823529411764705
1,2500,171,2.0,0.005847953216374269
1,2500,172,2.0,0.005813953488372093
1,2500,173,2.0,0.005780346820809248
1,2500,174,2.0,0.005747126436781609
1,2500,175,2.0,0.005714285714285714
1,2500,176,2.0,0.005681818181818182
1,2500,177,2.0,0.005649717514124294
1,2500,178,2.0,0.0056179775280898875
1,2500,179,2.0,0.00558659217877095
1,2500,180,2.0,0.005555555555555556
1,2500,181,2.0,0.0055248618784530384
1,2500,182,2.0,0.005494505494505495
1,2500,183,2.0,0.00546448087431694
1,2500,184,2.0,0.005434782608695652
1,2500,185,2.0,0.005405405405405406
1,2500,186,2.0,0.005376344086021506
1,2500,187,2.0,0.0053475935828877
1,2500,188,2.0,0.005319148936170213
1,2500,189,2.0,0.005291005291005291
1,2500,190,2.0,0.005263157894736842
1,2500,191,2.0,0.005235602094240838
1,2500,192,2.0,0.005208333333333333
1,2500,193,2.0,0.0051813471502590676
1,2500,194,2.0,0.005154639175257732
1,2500,195,2.0,0.005128205128205128
1,2500,196,2.0,0.00510204081632653
1,2500,197,2.0,0.005076142131979695
1,2500,198,2.0,0.005050505050505051
1,2500,199,2.0,0.005025125628140704
1,2500,200,2.0,0.005
1,2500,201,2.0,0.004975124378109453
1,2500,202,2.0,0.0049504950495049506
1,2500,203,2.0,0.0049261083743842365
1,2500,204,2.0,0.004901960784313725
1,2500,205,2.0,0.004878048780487805
1,2500,206,2.0,0.0048543689320388345
1,2500,207,2.0,0.004830917874396135
1,2500,208,2.0,0.004807692307692308
1,2500,209,2.0,0.004784688995215311
1,2500,210,2.0,0.004761904761904762
1,2500,211,2.0,0.004739336492890996
1,2500,212,2.0,0.0047169811320754715
1,2500,213,2.0,0.004694835680751174
1,2500,214,2.0,0.004672897196261682
1,2500,215,2.0,0.004651162790697674
1,2500,216,2.0,0.004629629629629629
1,2500,217,2.0,0.004608294930875576
1,2500,218,2.0,0.0045871559633027525
1,2500,219,2.0,0.0045662100456621
1,2500,220,2.0,0.004545454545454545
1,2500,221,2.0,0.004524886877828055
1,2500,222,2.0,0.0045045045045045045
1,2500,223,2.0,0.004484304932735426
1,2500,224,2.0,0.004464285714285714
1,2500,225,2.0,0.0044444444444444444
1,2500,226,2.0,0.004424778761061947
1,2500,227,2.0,0.004405286343612335
1,2500,228,2.0,0.0043859649122807015
1,2500,229,2.0,0.004366812227074236
1,2500,230,2.0,0.004347826086956522
1,2500,231,2.0,0.004329004329004329
1,2500,232,2.0,0.004310344827586207
1,2500,233,2.0,0.004291845493562232
1,2500,234,2.0,0.004273504273504274
1,2500,235,2.0,0.00425531914893617
1,2500,236,2.0,0.00423728813559322
1,2500,237,2.0,0.004219409282700422
1,2500,238,2.0,0.004201680672268907
1,2500,239,2.0,0.0041841004184100415
1,2500,240,2.0,0.004166666666666667
1,2500,241,2.0,0.004149377593360996
1,2500,242,2.0,0.004132231404958678
1,2500,243,2.0,0.00411522633744856
1,2500,244,2.0,0.004098360655737705
1,2500,245,2.0,0.004081632653061225
1,2500,246,2.0,0.0040650406504065045
1,2500,247,2.0,0.004048582995951417
1,2500,248,2.0,0.004032258064516129
1,2500,249,2.0,0.004016064257028112
1,2500,250,2.0,0.004
1,2500,251,2.0,0.00398406374501992
1,2500,252,2.0,0.003968253968253968
1,2500,253,2.0,0.003952569169960474
1,2500,254,2.0,0.003937007874015748
1,2500,255,2.0,0.00392156862745098
1,2500,256,2.0,0.00390625
1,2500,257,2.0,0.0038910505836575876
1,2500,258,2.0,0.003875968992248062
1,2500,259,2.0,0.003861003861003861
1,2500,260,2.0,0.0038461538461538464
1,2500,261,2.0,0.0038314176245210726
1,2500,262,2.0,0.003816793893129771
1,2500,263,2.0,0.0038022813688212928
1,2500,264,2.0,0.003787878787878788
1,2500,265,2.0,0.0037735849056603774
1,2500,266,2.0,0.0037593984962406013
1,2500,267,2.0,0.003745318352059925
1,2500,268,2.0,0.0037313432835820895
1,2500,269,2.0,0.0037174721189591076
1,2500,270,2.0,0.003703703703703704
1,2500,271,2.0,0.0036900369003690036
1,2500,272,2.0,0.003676470588235294
1,2500,273,2.0,0.003663003663003663
1,2500,274,2.0,0.0036496350364963502
1,2500,275,2.0,0.0036363636363636364
1,2500,276,2.0,0.0036231884057971015
1,2500,277,2.0,0.0036101083032490976
1,2500,278,2.0,0.0035971223021582736
1,2500,279,2.0,0.0035842293906810036
1,2500,280,2.0,0.0035714285714285713
1,2500,281,2.0,0.0035587188612099642
1,2500,282,2.0,0.0035460992907801418
1,2500,283,2.0,0.0035335689045936395
1,2500,284,2.0,0.0035211267605633804
1,2500,285,2.0,0.0035087719298245615
1,2500,286,2.0,0.0034965034965034965
1,2500,287,2.0,0.003484320557491289
1,2500,288,2.0,0.003472222222222222
1,2500,289,2.0,0.0034602076124567475
1,2500,290,2.0,0.0034482758620689655
1,2500,291,2.0,0.003436426116838488
1,2500,292,2.0,0.003424657534246575
1,2500,293,2.0,0.0034129692832764505
1,2500,294,2.0,0.003401360544217687
1,2500,295,2.0,0.003389830508474576
1,2500,296,2.0,0.0033783783783783786
1,2500,297,2.0,0.003367003367003367
1,2500,298,2.0,0.003355704697986577
1,2500,299,2.0,0.0033444816053511705
1,2500,300,2.0,0.0033333333333333335
1,2500,301,2.0,0.0033222591362126247
1,2500,302,2.0,0.0033112582781456954
1,2500,303,2.0,0.0033003300330033004
1,2500,304,2.0,0.003289473684210526
1,2500,305,2.0,0.003278688524590164
1,2500,306,2.0,0.0032679738562091504
1,2500,307,2.0,0.003257328990228013
1,2500,308,2.0,0.003246753246753247
1,2500,309,2.0,0.003236245954692557
1,2500,310,2.0,0.0032258064516129032
1,2500,311,2.0,0.003215434083601286
1,2500,312,2.0,0.003205128205128205
1,2500,313,2.0,0.003194888178913738
1,2500,314,2.0,0.0031847133757961785
1,2500,315,2.0,0.0031746031746031746
1,2500,316,2.0,0.0031645569620253164
1,2500,317,2.0,0.0031545741324921135
1,2500,318,2.0,0.0031446540880503146
1,2500,319,2.0,0.003134796238244514
1,2500,320,2.0,0.003125
1,2500,321,2.0,0.003115264797507788
1,2500,322,2.0,0.003105590062111801
1,2500,323,2.0,0.0030959752321981426
1,2500,324,2.0,0.0030864197530864196
1,2500,325,2.0,0.003076923076923077
1,2500,326,2.0,0.003067484662576687
1,2500,327,2.0,0.0030581039755351682
1,2500,328,2.0,0.003048780487804878
1,2500,329,2.0,0.00303951367781155
1,2500,330,2.0,0.0030303030303030303
1,2500,331,2.0,0.0030211480362537764
1,2500,332,2.0,0.0030120481927710845
1,2500,333,2.0,0.003003003003003003
1,2500,334,2.0,0.0029940119760479044
1,2500,335,2.0,0.0029850746268656717
1,2500,336,2.0,0.002976190476190476
1,2500,337,2.0,0.002967359050445104
1,2500,338,2.0,0.0029585798816568047
1,2500,339,2.0,0.0029498525073746312
1,2500,340,2.0,0.0029411764705882353
1,2500,341,2.0,0.002932551319648094
1,2500,342,2.0,0.0029239766081871343
1,2500,343,2.0,0.0029154518950437317
1,2500,344,2.0,0.0029069767441860465
1,2500,345,2.0,0.002898550724637681
1,2500,346,2.0,0.002890173410404624
1,2500,347,2.0,0.002881844380403458
1,2500,348,2.0,0.0028735632183908046
1,2500,349,2.0,0.0028653295128939827
1,2500,350,2.0,0.002857142857142857
1,2500,351,2.0,0.002849002849002849
1,2500,352,2.0,0.002840909090909091
1,2500,353,2.0,0.0028328611898017
1,2500,354,2.0,0.002824858757062147
1,2500,355,2.0,0.0028169014084507044
1,2500,356,2.0,0.0028089887640449437
1,2500,357,2.0,0.0028011204481792717
1,2500,358,2.0,0.002793296089385475
1,2500,359,2.0,0.002785515320334262
1,2500,360,2.0,0.002777777777777778
1,2500,361,2.0,0.002770083102493075
1,2500,362,2.0,0.0027624309392265192
1,2500,363,2.0,0.0027548209366391185
1,2500,364,2.0,0.0027472527472527475
1,2500,365,2.0,0.0027397260273972603
1,2500,366,2.0,0.00273224043715847
1,2500,367,2.0,0.0027247956403269754
1,2500,368,2.0,0.002717391304347826
1,2500,369,2.0,0.0027100271002710027
1,2500,370,2.0,0.002702702702702703
1,2500,371,2.0,0.0026954177897574125
1,2500,372,2.0,0.002688172043010753
1,2500,373,2.0,0.002680965147453083
1,2500,374,2.0,0.00267379679144385
1,2500,375,2.0,0.0026666666666666666
1,2500,376,2.0,0.0026595744680851063
1,2500,377,2.0,0.002652519893899204
1,2500,378,2.0,0.0026455026455026454
1,2500,379,2.0,0.002638522427440633
1,2500,380,2.0,0.002631578947368421
1,2500,381,2.0,0.0026246719160104987
1,2500,382,2.0,0.002617801047120419
1,2500,383,2.0,0.0026109660574412533
1,2500,384,2.0,0.0026041666666666665
1,2500,385,2.0,0.0025974025974025974
1,2500,386,2.0,0.0025906735751295338
1,2500,387,2.0,0.002583979328165375
1,2500,388,2.0,0.002577319587628866
1,2500,389,2.0,0.002570694087403599
1,2500,390,2.0,0.002564102564102564
1,2500,391,2.0,0.0025575447570332483
1,2500,392,2.0,0.002551020408163265
1,2500,393,2.0,0.002544529262086514
1,2500,394,2.0,0.0025380710659898475
1,2500,395,2.0,0.002531645569620253
1,2500,396,2.0,0.0025252525252525255
1,2500,397,2.0,0.0025188916876574307
1,2500,398,2.0,0.002512562814070352
1,2500,399,2.0,0.002506265664160401
1,2500,400,2.0,0.0025
1,2500,401,2.0,0.0024937655860349127
1,2500,402,2.0,0.0024875621890547263
1,2500,403,2.0,0.0024813895781637717
1,2500,404,2.0,0.0024752475247524753
1,2500,405,2.0,0.0024691358024691358
1,2500,406,2.0,0.0024630541871921183
1,2500,407,2.0,0.002457002457002457
1,2500,408,2.0,0.0024509803921568627
1,2500,409,2.0,0.0024449877750611247
1,2500,410,2.0,0.0024390243902439024
1,2500,411,2.0,0.0024330900243309003
1,2500,412,2.0,0.0024271844660194173
1,2500,413,2.0,0.002421307506053269
1,2500,414,2.0,0.0024154589371980675
1,2500,415,2.0,0.0024096385542168677
1,2500,416,2.0,0.002403846153846154
1,2500,417,2.0,0.002398081534772182
1,2500,418,2.0,0.0023923444976076554
1,2500,419,2.0,0.002386634844868735
1,2500,420,2.0,0.002380952380952381
1,2500,421,2.0,0.0023752969121140144
1,2500,422,2.0,0.002369668246445498
1,2500,423,2.0,0.002364066193853428
1,2500,424,2.0,0.0023584905660377358
1,2500,425,2.0,0.002352941176470588
1,2500,426,2.0,0.002347417840375587
1,2500,427,2.0,0.00234192037470726
1,2500,428,2.0,0.002336448598130841
1,2500,429,2.0,0.002331002331002331
1,2500,430,2.0,0.002325581395348837
1,2500,431,2.0,0.002320185614849188
1,2500,432,2.0,0.0023148148148148147
1,2500,433,2.0,0.0023094688221709007
1,2500,434,2.0,0.002304147465437788
1,2500,435,2.0,0.0022988505747126436
1,2500,436,2.0,0.0022935779816513763
1,2500,437,2.0,0.002288329519450801
1,2500,438,2.0,0.00228310502283105
1,2500,439,2.0,0.002277904328018223
1,2500,440,2.0,0.0022727272727272726
1,2500,441,2.0,0.0022675736961451248
1,2500,442,2.0,0.0022624434389140274
1,2500,443,2.0,0.002257336343115124
1,2500,444,2.0,0.0022522522522522522
1,2500,445,2.0,0.0022471910112359553
1,2500,446,2.0,0.002242152466367713
1,2500,447,2.0,0.0022371364653243847
1,2500,448,2.0,0.002232142857142857
1,2500,449,2.0,0.0022271714922048997
1,2500,450,2.0,0.0022222222222222222
1,2500,451,2.0,0.0022172949002217295
1,2500,452,2.0,0.0022123893805309734
1,2500,453,2.0,0.002207505518763797
1,2500,454,2.0,0.0022026431718061676
1,2500,455,2.0,0.002197802197802198
1,2500,456,2.0,0.0021929824561403508
1,2500,457,2.0,0.002188183807439825
1,2500,458,2.0,0.002183406113537118
1,2500,459,2.0,0.002178649237472767
1,2500,460,2.0,0.002173913043478261
1,2500,461,2.0,0.0021691973969631237
1,2500,462,2.0,0.0021645021645021645
1,2500,463,2.0,0.0021598272138228943
1,2500,464,2.0,0.0021551724137931034
1,2500,465,2.0,0.002150537634408602
1,2500,466,2.0,0.002145922746781116
1,2500,467,2.0,0.0021413276231263384
1,2500,468,2.0,0.002136752136752137
1,2500,469,2.0,0.0021321961620469083
1,2500,470,2.0,0.002127659574468085
1,2500,471,2.0,0.0021231422505307855
1,2500,472,2.0,0.00211864406779661
1,2500,473,2.0,0.0021141649048625794
1,2500,474,2.0,0.002109704641350211
1,2500,475,2.0,0.002105263157894737
1,2500,476,2.0,0.0021008403361344537
1,2500,477,2.0,0.0020964360587002098
1,2500,478,2.0,0.0020920502092050207
1,2500,479,2.0,0.0020876826722338203
1,2500,480,2.0,0.0020833333333333333
1,2500,481,2.0,0.002079002079002079
1,2500,482,2.0,0.002074688796680498
1,2500,483,2.0,0.002070393374741201
1,2500,484,2.0,0.002066115702479339
1,2500,485,2.0,0.002061855670103093
1,2500,486,2.0,0.00205761316872428
1,2500,487,2.0,0.002053388090349076
1,2500,488,2.0,0.0020491803278688526
1,2500,489,2.0,0.002044989775051125
1,2500,490,2.0,0.0020408163265306124
1,2500,491,2.0,0.002036659877800407
1,2500,492,2.0,0.0020325203252032522
1,2500,493,2.0,0.002028397565922921
1,2500,494,2.0,0.0020242914979757085
1,2500,495,2.0,0.00202020202020202
1,2500,496,2.0,0.0020161290322580645
1,2500,497,2.0,0.002012072434607646
1,2500,498,2.0,0.002008032128514056
1,2500,499,2.0,0.002004008016032064
1,2500,500,2.0,0.002
1,2500,501,2.0,0.001996007984031936
1,2500,502,2.0,0.00199203187250996
1,2500,503,2.0,0.0019880715705765406
1,2500,504,2.0,0.001984126984126984
1,2500,505,2.0,0.0019801980198019802
1,2500,506,2.0,0.001976284584980237
1,2500,507,2.0,0.0019723865877712033
1,2500,508,2.0,0.001968503937007874
1,2500,509,2.0,0.0019646365422396855
1,2500,510,2.0,0.00196078431372549
1,2500,511,2.0,0.0019569471624266144
1,2500,512,2.0,0.001953125
1,2500,513,2.0,0.001949317738791423
1,2500,514,2.0,0.0019455252918287938
1,2500,515,2.0,0.001941747572815534
1,2500,516,2.0,0.001937984496124031
1,2500,517,2.0,0.0019342359767891683
1,2500,518,2.0,0.0019305019305019305
1,2500,519,2.0,0.0019267822736030828
1,2500,520,2.0,0.0019230769230769232
1,2500,521,2.0,0.0019193857965451055
1,2500,522,2.0,0.0019157088122605363
1,2500,523,2.0,0.0019120458891013384
1,2500,524,2.0,0.0019083969465648854
1,2500,525,2.0,0.0019047619047619048
1,2500,526,2.0,0.0019011406844106464
1,2500,527,2.0,0.0018975332068311196
1,2500,528,2.0,0.001893939393939394
1,2500,529,2.0,0.001890359168241966
1,2500,530,2.0,0.0018867924528301887
1,2500,531,2.0,0.0018832391713747645
1,2500,532,2.0,0.0018796992481203006
1,2500,533,2.0,0.001876172607879925
1,2500,534,2.0,0.0018726591760299626
1,2500,535,2.0,0.001869158878504673
1,2500,536,2.0,0.0018656716417910447
1,2500,537,2.0,0.00186219739292365
1,2500,538,2.0,0.0018587360594795538
1,2500,539,2.0,0.0018552875695732839
1,2500,540,2.0,0.001851851851851852
1,2500,541,2.0,0.0018484288354898336
1,2500,542,2.0,0.0018450184501845018
1,2500,543,2.0,0.001841620626151013
1,2500,544,2.0,0.001838235294117647
1,2500,545,2.0,0.001834862385321101
1,2500,546,2.0,0.0018315018315018315
1,2500,547,2.0,0.0018281535648994515
1,2500,548,2.0,0.0018248175182481751
1,2500,549,2.0,0.0018214936247723133
1,2500,550,2.0,0.0018181818181818182
1,2500,551,2.0,0.0018148820326678765
1,2500,552,2.0,0.0018115942028985507
1,2500,553,2.0,0.0018083182640144665
1,2500,554,2.0,0.0018050541516245488
1,2500,555,2.0,0.0018018018018018018
1,2500,556,2.0,0.0017985611510791368
1,2500,557,2.0,0.0017953321364452424
1,2500,558,2.0,0.0017921146953405018
1,2500,559,2.0,0.0017889087656529517
1,2500,560,2.0,0.0017857142857142857
1,2500,561,2.0,0.0017825311942959
1,2500,562,2.0,0.0017793594306049821
1,2500,563,2.0,0.0017761989342806395
1,2500,564,2.0,0.0017730496453900709
1,2500,565,2.0,0.0017699115044247787
1,2500,566,2.0,0.0017667844522968198
1,2500,567,2.0,0.001763668430335097
1,2500,568,2.0,0.0017605633802816902
1,2500,569,2.0,0.0017574692442882249
1,2500,570,2.0,0.0017543859649122807
1,2500,571,2.0,0.0017513134851138354
1,2500,572,2.0,0.0017482517482517483
1,2500,573,2.0,0.0017452006980802793
1,2500,574,2.0,0.0017421602787456446
1,2500,575,2.0,0.0017391304347826088
1,2500,576,2.0,0.001736111111111111
1,2500,577,2.0,0.0017331022530329288
1,2500,578,2.0,0.0017301038062283738
1,2500,579,2.0,0.0017271157167530224
1,2500,580,2.0,0.0017241379310344827
1,2500,581,2.0,0.0017211703958691911
1,2500,582,2.0,0.001718213058419244
1,2500,583,2.0,0.0017152658662092624
1,2500,584,2.0,0.0017123287671232876
1,2500,585,2.0,0.0017094017094017094
1,2500,586,2.0,0.0017064846416382253
1,2500,587,2.0,0.0017035775127768314
1,2500,588,2.0,0.0017006802721088435
1,2500,589,2.0,0.001697792869269949
1,2500,590,2.0,0.001694915254237288
1,2500,591,2.0,0.001692047377326565
1,2500,592,2.0,0.0016891891891891893
1,2500,593,2.0,0.0016863406408094434
1,2500,594,2.0,0.0016835016835016834
1,2500,595,2.0,0.0016806722689075631
1,2500,596,2.0,0.0016778523489932886
1,2500,597,2.0,0.0016750418760469012
1,2500,598,2.0,0.0016722408026755853
1,2500,599,2.0,0.001669449081803005
1,2500,600,2.0,0.0016666666666666668
1,2500,601,2.0,0.0016638935108153079
1,2500,602,2.0,0.0016611295681063123
1,2500,603,2.0,0.001658374792703151
1,2500,604,2.0,0.0016556291390728477
1,2500,605,2.0,0.001652892561983471
1,2500,606,2.0,0.0016501650165016502
1,2500,607,2.0,0.0016474464579901153
1,2500,608,2.0,0.001644736842105263
1,2500,609,2.0,0.0016420361247947454
1,2500,610,2.0,0.001639344262295082
1,2500,611,2.0,0.0016366612111292963
1,2500,612,2.0,0.0016339869281045752
1,2500,613,2.0,0.0016313213703099511
1,2500,614,2.0,0.0016286644951140066
1,2500,615,2.0,0.0016260162601626016
1,2500,616,2.0,0.0016233766233766235
1,2500,617,2.0,0.0016207455429497568
1,2500,618,2.0,0.0016181229773462784
1,2500,619,2.0,0.0016155088852988692
1,2500,620,2.0,0.0016129032258064516
1,2500,621,2.0,0.001610305958132045
1,2500,622,2.0,0.001607717041800643
1,2500,623,2.0,0.0016051364365971107
1,2500,624,2.0,0.0016025641025641025
1,2500,625,2.0,0.0016
1,2500,626,2.0,0.001597444089456869
1,2500,627,2.0,0.001594896331738437
1,2500,628,2.0,0.0015923566878980893
1,2500,629,2.0,0.001589825119236884
1,2500,630,2.0,0.0015873015873015873
1,2500,631,2.0,0.001584786053882726
1,2500,632,2.0,0.0015822784810126582
1,2500,633,2.0,0.001579778830963665
1,2500,634,2.0,0.0015772870662460567
1,2500,635,2.0,0.0015748031496062992
1,2500,636,2.0,0.0015723270440251573
1,2500,637,2.0,0.0015698587127158557
1,2500,638,2.0,0.001567398119122257
1,2500,639,2.0,0.001564945226917058
1,2500,640,2.0,0.0015625
1,2500,641,2.0,0.0015600624024961
1,2500,642,2.0,0.001557632398753894
1,2500,643,2.0,0.0015552099533437014
1,2500,644,2.0,0.0015527950310559005
1,2500,645,2.0,0.0015503875968992248
1,2500,646,2.0,0.0015479876160990713
1,2500,647,2.0,0.0015455950540958269
1,2500,648,2.0,0.0015432098765432098
1,2500,649,2.0,0.0015408320493066256
1,2500,650,2.0,0.0015384615384615385
1,2500,651,2.0,0.0015360983102918587
1,2500,652,2.0,0.0015337423312883436
1,2500,653,2.0,0.0015313935681470138
1,2500,654,2.0,0.0015290519877675841
1,2500,655,2.0,0.0015267175572519084
1,2500,656,2.0,0.001524390243902439
1,2500,657,2.0,0.0015220700152207
1,2500,658,2.0,0.001519756838905775
1,2500,659,2.0,0.0015174506828528073
1,2500,660,2.0,0.0015151515151515152
1,2500,661,2.0,0.0015128593040847202
1,2500,662,2.0,0.0015105740181268882
1,2500,663,2.0,0.0015082956259426848
1,2500,664,2.0,0.0015060240963855422
1,2500,665,2.0,0.0015037593984962407
1,2500,666,2.0,0.0015015015015015015
1,2500,667,2.0,0.0014992503748125937
1,2500,668,2.0,0.0014970059880239522
1,2500,669,2.0,0.0014947683109118087
1,2500,670,2.0,0.0014925373134328358
1,2500,671,2.0,0.0014903129657228018
1,2500,672,2.0,0.001488095238095238
1,2500,673,2.0,0.0014858841010401188
1,2500,674,2.0,0.001483679525222552
1,2500,675,2.0,0.0014814814814814814
1,2500,676,2.0,0.0014792899408284023
1,2500,677,2.0,0.0014771048744460858
1,2500,678,2.0,0.0014749262536873156
1,2500,679,2.0,0.0014727540500736377
1,2500,680,2.0,0.0014705882352941176
1,2500,681,2.0,0.0014684287812041115
1,2500,682,2.0,0.001466275659824047
1,2500,683,2.0,0.0014641288433382138
1,2500,684,2.0,0.0014619883040935672
1,2500,685,2.0,0.00145985401459854
1,2500,686,2.0,0.0014577259475218659
1,2500,687,2.0,0.001455604075691412
1,2500,688,2.0,0.0014534883720930232
1,2500,689,2.0,0.001451378809869376
1,2500,690,2.0,0.0014492753623188406
